2026-02-14 19:26:49,964 - INFO - Using device: cuda
2026-02-14 19:26:52,952 - INFO - Training for 100 epochs...
Epochs:   0%|          | 0/100 [00:00<?, ?it/s]2026-02-14 19:26:56,740 - DEBUG - Step 1, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:29:07,858 - DEBUG - Step 66, Step loss = 0.0042, Image loss = 0.0042, Grad loss = 0.0000
2026-02-14 19:29:09,655 - DEBUG - Step 67, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:29:11,402 - DEBUG - Step 68, Step loss = 0.0030, Image loss = 0.0030, Grad loss = 0.0000
2026-02-14 19:29:13,249 - DEBUG - Step 69, Step loss = 0.0032, Image loss = 0.0032, Grad loss = 0.0000
2026-02-14 19:29:15,039 - DEBUG - Step 70, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:29:16,861 - DEBUG - Step 71, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:29:18,675 - DEBUG - Step 72, Step loss = 0.0029, Image loss = 0.0029, Grad loss = 0.0000
2026-02-14 19:29:20,371 - DEBUG - Step 73, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:29:22,110 - DEBUG - Step 74, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:29:23,970 - DEBUG - Step 75, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-14 19:29:25,780 - DEBUG - Step 76, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:29:27,620 - DEBUG - Step 77, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:29:29,375 - DEBUG - Step 78, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:29:31,124 - DEBUG - Step 79, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:29:32,878 - DEBUG - Step 80, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:29:34,784 - DEBUG - Step 81, Step loss = 0.0031, Image loss = 0.0031, Grad loss = 0.0000
2026-02-14 19:29:36,538 - DEBUG - Step 82, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:29:38,312 - DEBUG - Step 83, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:29:40,080 - DEBUG - Step 84, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:29:41,775 - DEBUG - Step 85, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:29:43,523 - DEBUG - Step 86, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:29:45,213 - DEBUG - Step 87, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:29:47,214 - DEBUG - Step 88, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:29:49,190 - DEBUG - Step 89, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:29:51,070 - DEBUG - Step 90, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:29:52,856 - DEBUG - Step 91, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:29:54,610 - DEBUG - Step 92, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:29:56,299 - DEBUG - Step 93, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:29:58,146 - DEBUG - Step 94, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:29:59,963 - DEBUG - Step 95, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-14 19:30:01,662 - DEBUG - Step 96, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:30:03,431 - DEBUG - Step 97, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:30:05,162 - DEBUG - Step 98, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:30:06,907 - DEBUG - Step 99, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:30:08,677 - DEBUG - Step 100, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:30:08,678 - INFO - Epoch 1/100, Loss: 0.003643
Epochs:   1%|          | 1/100 [03:15<5:22:58, 195.75s/it]2026-02-14 19:30:10,554 - DEBUG - Step 1, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:30:12,312 - DEBUG - Step 2, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:30:14,123 - DEBUG - Step 3, Step loss = 0.0043, Image loss = 0.0043, Grad loss = 0.0000
2026-02-14 19:30:15,806 - DEBUG - Step 4, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:30:17,676 - DEBUG - Step 5, Step loss = 0.0032, Image loss = 0.0032, Grad loss = 0.0000
2026-02-14 19:30:19,436 - DEBUG - Step 6, Step loss = 0.0042, Image loss = 0.0042, Grad loss = 0.0000
2026-02-14 19:30:21,324 - DEBUG - Step 7, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:30:23,092 - DEBUG - Step 8, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:30:24,906 - DEBUG - Step 9, Step loss = 0.0031, Image loss = 0.0031, Grad loss = 0.0000
2026-02-14 19:30:26,614 - DEBUG - Step 10, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:30:28,427 - DEBUG - Step 11, Step loss = 0.0031, Image loss = 0.0031, Grad loss = 0.0000
2026-02-14 19:30:30,207 - DEBUG - Step 12, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:30:32,123 - DEBUG - Step 13, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:30:33,888 - DEBUG - Step 14, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:30:35,744 - DEBUG - Step 15, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:30:37,509 - DEBUG - Step 16, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:30:39,273 - DEBUG - Step 17, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:30:41,116 - DEBUG - Step 18, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:30:42,878 - DEBUG - Step 19, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:30:44,596 - DEBUG - Step 20, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:30:46,409 - DEBUG - Step 21, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:30:48,169 - DEBUG - Step 22, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:30:49,905 - DEBUG - Step 23, Step loss = 0.0030, Image loss = 0.0030, Grad loss = 0.0000
2026-02-14 19:30:51,598 - DEBUG - Step 24, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:30:53,298 - DEBUG - Step 25, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-14 19:30:54,987 - DEBUG - Step 26, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:30:56,777 - DEBUG - Step 27, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:30:58,509 - DEBUG - Step 28, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:31:00,212 - DEBUG - Step 29, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:31:01,924 - DEBUG - Step 30, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:31:03,834 - DEBUG - Step 31, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:31:05,546 - DEBUG - Step 32, Step loss = 0.0032, Image loss = 0.0032, Grad loss = 0.0000
2026-02-14 19:31:07,318 - DEBUG - Step 33, Step loss = 0.0042, Image loss = 0.0042, Grad loss = 0.0000
2026-02-14 19:31:09,047 - DEBUG - Step 34, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:31:10,768 - DEBUG - Step 35, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:31:12,501 - DEBUG - Step 36, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:31:14,229 - DEBUG - Step 37, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:31:16,034 - DEBUG - Step 38, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:31:17,741 - DEBUG - Step 39, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:31:19,502 - DEBUG - Step 40, Step loss = 0.0031, Image loss = 0.0031, Grad loss = 0.0000
2026-02-14 19:31:21,273 - DEBUG - Step 41, Step loss = 0.0046, Image loss = 0.0046, Grad loss = 0.0000
2026-02-14 19:31:23,021 - DEBUG - Step 42, Step loss = 0.0031, Image loss = 0.0031, Grad loss = 0.0000
2026-02-14 19:31:24,750 - DEBUG - Step 43, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:31:26,596 - DEBUG - Step 44, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:31:28,339 - DEBUG - Step 45, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:31:30,095 - DEBUG - Step 46, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:31:31,779 - DEBUG - Step 47, Step loss = 0.0045, Image loss = 0.0045, Grad loss = 0.0000
2026-02-14 19:31:33,539 - DEBUG - Step 48, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:31:35,333 - DEBUG - Step 49, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:31:37,020 - DEBUG - Step 50, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:31:38,746 - DEBUG - Step 51, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:31:40,485 - DEBUG - Step 52, Step loss = 0.0042, Image loss = 0.0042, Grad loss = 0.0000
2026-02-14 19:31:42,342 - DEBUG - Step 53, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:31:44,090 - DEBUG - Step 54, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:31:45,818 - DEBUG - Step 55, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:31:47,587 - DEBUG - Step 56, Step loss = 0.0045, Image loss = 0.0045, Grad loss = 0.0000
2026-02-14 19:31:49,468 - DEBUG - Step 57, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:31:51,168 - DEBUG - Step 58, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:31:52,892 - DEBUG - Step 59, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
