2026-02-15 00:00:21,876 - INFO - Using device: cuda
2026-02-15 00:00:22,095 - INFO - Using FP16 precision for training
2026-02-15 00:00:24,281 - INFO - Training for 100 epochs...
Epochs:   0%|          | 0/100 [00:00<?, ?it/s]2026-02-15 00:00:27,048 - DEBUG - Step 1, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-15 00:03:42,146 - DEBUG - Step 14, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:03:43,909 - DEBUG - Step 15, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:03:45,622 - DEBUG - Step 16, Step loss = nan, Image loss = 0.0213, Grad loss = nan
2026-02-15 00:03:47,338 - DEBUG - Step 17, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:03:49,055 - DEBUG - Step 18, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:03:50,775 - DEBUG - Step 19, Step loss = nan, Image loss = 0.0193, Grad loss = nan
2026-02-15 00:03:52,488 - DEBUG - Step 20, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:03:54,196 - DEBUG - Step 21, Step loss = nan, Image loss = 0.0196, Grad loss = nan
2026-02-15 00:03:55,897 - DEBUG - Step 22, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:03:57,661 - DEBUG - Step 23, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:03:59,374 - DEBUG - Step 24, Step loss = nan, Image loss = 0.0196, Grad loss = nan
2026-02-15 00:04:01,077 - DEBUG - Step 25, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:04:02,772 - DEBUG - Step 26, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:04:04,509 - DEBUG - Step 27, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:04:06,222 - DEBUG - Step 28, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:04:07,911 - DEBUG - Step 29, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:04:09,616 - DEBUG - Step 30, Step loss = nan, Image loss = 0.0191, Grad loss = nan
2026-02-15 00:04:11,305 - DEBUG - Step 31, Step loss = nan, Image loss = 0.0210, Grad loss = nan
2026-02-15 00:04:13,014 - DEBUG - Step 32, Step loss = nan, Image loss = 0.0210, Grad loss = nan
2026-02-15 00:04:14,702 - DEBUG - Step 33, Step loss = nan, Image loss = 0.0215, Grad loss = nan
2026-02-15 00:04:16,437 - DEBUG - Step 34, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:04:18,156 - DEBUG - Step 35, Step loss = nan, Image loss = 0.0203, Grad loss = nan
2026-02-15 00:04:19,881 - DEBUG - Step 36, Step loss = nan, Image loss = 0.0192, Grad loss = nan
2026-02-15 00:04:21,590 - DEBUG - Step 37, Step loss = nan, Image loss = 0.0196, Grad loss = nan
2026-02-15 00:04:23,287 - DEBUG - Step 38, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:04:25,001 - DEBUG - Step 39, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:04:26,688 - DEBUG - Step 40, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:04:28,396 - DEBUG - Step 41, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:04:30,106 - DEBUG - Step 42, Step loss = nan, Image loss = 0.0214, Grad loss = nan
2026-02-15 00:04:31,818 - DEBUG - Step 43, Step loss = nan, Image loss = 0.0197, Grad loss = nan
